"filename", "language", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"e:\Workspace\ItBuild\studio-backend\package-lock.json", "JSON", 0, 0, 2516, 0, 1, 2517
"e:\Workspace\ItBuild\studio-backend\package.json", "JSON", 0, 0, 43, 0, 1, 44
"e:\Workspace\ItBuild\studio-backend\src\app.ts", "TypeScript", 0, 37, 0, 7, 9, 53
"e:\Workspace\ItBuild\studio-backend\src\config\database.ts", "TypeScript", 0, 9, 0, 0, 3, 12
"e:\Workspace\ItBuild\studio-backend\src\controllers\appController.ts", "TypeScript", 0, 320, 0, 29, 74, 423
"e:\Workspace\ItBuild\studio-backend\src\controllers\balanceController.ts", "TypeScript", 0, 60, 0, 2, 7, 69
"e:\Workspace\ItBuild\studio-backend\src\controllers\checkoutController.ts", "TypeScript", 0, 173, 0, 8, 20, 201
"e:\Workspace\ItBuild\studio-backend\src\controllers\classController.ts", "TypeScript", 0, 231, 0, 30, 37, 298
"e:\Workspace\ItBuild\studio-backend\src\controllers\dashboardController.ts", "TypeScript", 0, 153, 0, 15, 24, 192
"e:\Workspace\ItBuild\studio-backend\src\controllers\financialController.ts", "TypeScript", 0, 85, 0, 8, 16, 109
"e:\Workspace\ItBuild\studio-backend\src\controllers\itemsController.ts", "TypeScript", 0, 42, 0, 4, 5, 51
"e:\Workspace\ItBuild\studio-backend\src\controllers\loginController.ts", "TypeScript", 0, 65, 0, 6, 24, 95
"e:\Workspace\ItBuild\studio-backend\src\controllers\personController.ts", "TypeScript", 0, 313, 0, 23, 40, 376
"e:\Workspace\ItBuild\studio-backend\src\controllers\placeController.ts", "TypeScript", 0, 113, 0, 8, 11, 132
"e:\Workspace\ItBuild\studio-backend\src\controllers\productController.ts", "TypeScript", 0, 132, 0, 15, 27, 174
"e:\Workspace\ItBuild\studio-backend\src\controllers\productTypeController.ts", "TypeScript", 0, 154, 0, 14, 19, 187
"e:\Workspace\ItBuild\studio-backend\src\controllers\seedController.ts", "TypeScript", 0, 61, 0, 3, 6, 70
"e:\Workspace\ItBuild\studio-backend\src\controllers\transactionController.ts", "TypeScript", 0, 63, 0, 8, 9, 80
"e:\Workspace\ItBuild\studio-backend\src\core\email\emailService.ts", "TypeScript", 0, 23, 0, 4, 4, 31
"e:\Workspace\ItBuild\studio-backend\src\core\token\authenticateToken.ts", "TypeScript", 0, 15, 0, 6, 8, 29
"e:\Workspace\ItBuild\studio-backend\src\core\token\generateAuthToken.ts", "TypeScript", 0, 21, 0, 0, 4, 25
"e:\Workspace\ItBuild\studio-backend\src\core\token\generateResetToken.ts", "TypeScript", 0, 19, 0, 0, 4, 23
"e:\Workspace\ItBuild\studio-backend\src\index.ts", "TypeScript", 0, 5, 0, 0, 3, 8
"e:\Workspace\ItBuild\studio-backend\src\models\Balance.model.ts", "TypeScript", 0, 36, 0, 6, 8, 50
"e:\Workspace\ItBuild\studio-backend\src\models\Bike.model.ts", "TypeScript", 0, 57, 0, 7, 7, 71
"e:\Workspace\ItBuild\studio-backend\src\models\Class.model.ts", "TypeScript", 0, 83, 0, 7, 9, 99
"e:\Workspace\ItBuild\studio-backend\src\models\ClassStudent.model.ts", "TypeScript", 0, 49, 0, 3, 6, 58
"e:\Workspace\ItBuild\studio-backend\src\models\Item.model.ts", "TypeScript", 0, 81, 0, 5, 7, 93
"e:\Workspace\ItBuild\studio-backend\src\models\Person.model.ts", "TypeScript", 0, 150, 0, 5, 8, 163
"e:\Workspace\ItBuild\studio-backend\src\models\Place.model.ts", "TypeScript", 0, 44, 0, 5, 7, 56
"e:\Workspace\ItBuild\studio-backend\src\models\Product.model.ts", "TypeScript", 0, 69, 0, 6, 8, 83
"e:\Workspace\ItBuild\studio-backend\src\models\ProductType.model.ts", "TypeScript", 0, 49, 0, 6, 8, 63
"e:\Workspace\ItBuild\studio-backend\src\models\Transaction.model.ts", "TypeScript", 0, 117, 0, 5, 7, 129
"e:\Workspace\ItBuild\studio-backend\src\routes\appRoutes.ts", "TypeScript", 0, 14, 0, 115, 15, 144
"e:\Workspace\ItBuild\studio-backend\src\routes\checkoutRoutes.ts", "TypeScript", 0, 6, 0, 3, 4, 13
"e:\Workspace\ItBuild\studio-backend\src\routes\classRoutes.ts", "TypeScript", 0, 10, 0, 66, 9, 85
"e:\Workspace\ItBuild\studio-backend\src\routes\dashboardRoutes.ts", "TypeScript", 0, 8, 0, 0, 7, 15
"e:\Workspace\ItBuild\studio-backend\src\routes\financialRoutes.ts", "TypeScript", 0, 7, 0, 20, 7, 34
"e:\Workspace\ItBuild\studio-backend\src\routes\indexRoutes.ts", "TypeScript", 0, 12, 0, 0, 4, 16
"e:\Workspace\ItBuild\studio-backend\src\routes\loginRoutes.ts", "TypeScript", 0, 5, 0, 29, 6, 40
"e:\Workspace\ItBuild\studio-backend\src\routes\passwordRoutes.ts", "TypeScript", 0, 6, 0, 57, 6, 69
"e:\Workspace\ItBuild\studio-backend\src\routes\personRoutes.ts", "TypeScript", 0, 24, 0, 223, 13, 260
"e:\Workspace\ItBuild\studio-backend\src\routes\placeRoutes.ts", "TypeScript", 0, 10, 0, 281, 9, 300
"e:\Workspace\ItBuild\studio-backend\src\routes\productRoutes.ts", "TypeScript", 0, 18, 0, 148, 10, 176
"e:\Workspace\ItBuild\studio-backend\src\routes\productTypeRoutes.ts", "TypeScript", 0, 18, 0, 125, 10, 153
"e:\Workspace\ItBuild\studio-backend\src\routes\seedRoutes.ts", "TypeScript", 0, 7, 0, 30, 6, 43
"e:\Workspace\ItBuild\studio-backend\src\swagger\swagger.ts", "TypeScript", 0, 39, 0, 0, 5, 44
"e:\Workspace\ItBuild\studio-backend\src\types.d.ts", "TypeScript", 0, 9, 0, 1, 2, 12
"e:\Workspace\ItBuild\studio-backend\tsconfig.json", "JSON with Comments", 25, 0, 0, 0, 1, 26
"e:\Workspace\ItBuild\studio-backend\vercel.json", "JSON", 0, 0, 23, 0, 1, 24
"Total", "-", 25, 3022, 2582, 1343, 546, 7518
